customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0001-['G' 'T' 'O' 'K' 'H'],Male,1,No,Yes,19,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,115.35,2191.65,No
0002-['U' 'G' 'Z' 'S' 'W'],Male,0,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,62.84,565.56,No
0003-['K' 'K' 'X' 'U' 'D'],Male,0,No,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),94.38,3020.16,Yes
0004-['H' 'X' 'C' 'V' 'U'],Male,0,No,Yes,0,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,110.77,0.0,Yes
0005-['B' 'X' 'L' 'F' 'B'],Male,0,Yes,Yes,11,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Mailed check,43.84,482.24,No
0006-['U' 'A' 'L' 'Z' 'V'],Female,0,No,No,22,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,31.62,695.64,No
0007-['L' 'Y' 'Q' 'J' 'P'],Male,1,No,No,21,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),42.82,899.22,No
0008-['O' 'O' 'S' 'L' 'W'],Male,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,108.82,2394.04,No
0009-['T' 'Y' 'C' 'E' 'S'],Male,1,No,Yes,5,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,49.21,246.05,Yes
0010-['G' 'U' 'I' 'G' 'R'],Male,0,Yes,Yes,9,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),71.63,644.67,No
0011-['D' 'Y' 'N' 'R' 'Z'],Male,0,No,No,64,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),116.43,7451.52,No
0012-['I' 'Z' 'U' 'B' 'T'],Female,0,Yes,Yes,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),66.57,4793.04,No
0013-['O' 'G' 'L' 'H' 'O'],Male,1,Yes,Yes,8,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.36,442.88,No
0014-['C' 'N' 'Q' 'D' 'R'],Male,0,No,No,24,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,112.09,2690.16,No
0015-['H' 'D' 'B' 'F' 'V'],Female,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,28.87,173.22,No
0016-['J' 'D' 'V' 'R' 'Z'],Male,0,No,No,11,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,90.21,992.31,No
0017-['L' 'B' 'J' 'D' 'N'],Female,1,Yes,Yes,37,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),61.96,2292.52,No
0018-['P' 'O' 'H' 'N' 'W'],Female,0,Yes,No,16,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),98.22,1571.52,Yes
